,stop_id,stop_name,event_name,description,categories,url
633,8503509,Schlieren,ZKB Prime Tower,,,https://go.sygic.com/travel/place?id=poi:8784267
634,8503509,Schlieren,Parkshaus Prime Tower,,['traveling'],https://go.sygic.com/travel/place?id=poi:7027007
635,8503511,Neuenhof,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:6531039
636,8503512,Glanzenberg,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:6531039
637,8503512,Glanzenberg,Coop Pronto Prime Tower,,['shopping'],https://go.sygic.com/travel/place?id=poi:10546192
638,8503512,Glanzenberg,Prime Tower,,,https://go.sygic.com/travel/place?id=poi:24578886
639,8503512,Glanzenberg,Kieser Training Prime Tower,,['doing_sports'],https://go.sygic.com/travel/place?id=poi:18511323
640,8503512,Glanzenberg,Swisscom Tower,,,https://go.sygic.com/travel/place?id=poi:26987747
641,8503512,Glanzenberg,ZKB Prime Tower,,,https://go.sygic.com/travel/place?id=poi:8784267
642,8503512,Glanzenberg,Parkshaus Prime Tower,,['traveling'],https://go.sygic.com/travel/place?id=poi:7027007
643,8503526,Regensdorf-Watt,Tower,,,https://go.sygic.com/travel/place?id=poi:37332332
644,8503526,Regensdorf-Watt,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:6531039
645,8503526,Regensdorf-Watt,Coop Pronto Prime Tower,,['shopping'],https://go.sygic.com/travel/place?id=poi:10546192
646,8503526,Regensdorf-Watt,Prime Tower,,,https://go.sygic.com/travel/place?id=poi:24578886
647,8503526,Regensdorf-Watt,Kieser Training Prime Tower,,['doing_sports'],https://go.sygic.com/travel/place?id=poi:18511323
648,8503526,Regensdorf-Watt,Swisscom Tower,,,https://go.sygic.com/travel/place?id=poi:26987747
649,8503526,Regensdorf-Watt,ZKB Prime Tower,,,https://go.sygic.com/travel/place?id=poi:8784267
650,8503526,Regensdorf-Watt,Parkshaus Prime Tower,,['traveling'],https://go.sygic.com/travel/place?id=poi:7027007
651,8503528,Otelfingen,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:6531039
652,8503529,Würenlos,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:6531039
653,8504000,Pully-Nord,Lausanne Sauvabelin Tower,"The Tour de Sauvabelin is a wooden tower located in the Sauvabelin forest, Lausanne, Switzerland.","['hiking', 'sightseeing']",https://go.sygic.com/travel/place?id=poi:10638
654,8504000,Pully-Nord,Ale Tower,This cylindrical tower is a silent remnant of Lausanne's medieval past when it served as a part of the fortification.,"['hiking', 'sightseeing']",https://go.sygic.com/travel/place?id=poi:10502
655,8504000,Pully-Nord,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:21569256
656,8504003,Bossière,Lausanne Sauvabelin Tower,"The Tour de Sauvabelin is a wooden tower located in the Sauvabelin forest, Lausanne, Switzerland.","['hiking', 'sightseeing']",https://go.sygic.com/travel/place?id=poi:10638
657,8504003,Bossière,Ale Tower,This cylindrical tower is a silent remnant of Lausanne's medieval past when it served as a part of the fortification.,"['hiking', 'sightseeing']",https://go.sygic.com/travel/place?id=poi:10502
658,8504003,Bossière,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:21569256
659,8504003,Bossière,Mont Pèlerin TV Tower,,,https://go.sygic.com/travel/place?id=poi:20305358
660,8504007,Moreillon,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:21569256
661,8504007,Moreillon,Mont Pèlerin TV Tower,,,https://go.sygic.com/travel/place?id=poi:20305358
662,8504010,La Conversion,Lausanne Sauvabelin Tower,"The Tour de Sauvabelin is a wooden tower located in the Sauvabelin forest, Lausanne, Switzerland.","['hiking', 'sightseeing']",https://go.sygic.com/travel/place?id=poi:10638
